;$FILEVERSION=1.1
;$STARTTIME=45822.7925831713
;
;   Start time: 14/06/2025 19:01:19.186.0
;   Generated by PCAN-View v5.3.0.942
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
   170)       264.6  Rx     1809F401  8  00 00 00 00 00 00 00 00 
   171)       265.2  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
   172)       265.8  Rx     1812F401  8  92 08 98 08 86 08 90 08 
   173)       266.3  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
   174)       266.8  Rx     1814F401  8  94 08 91 08 91 08 94 08 
   175)       267.4  Rx     1815F401  8  94 08 92 08 95 08 8F 08 
   176)       267.9  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
   177)       268.5  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
   178)       269.0  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
   179)       269.6  Rx     1819F401  8  92 08 91 08 93 08 93 08 
   180)       270.1  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
   181)       270.7  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
   182)       271.2  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
   183)       271.8  Rx     1824F401  8  00 00 00 00 00 00 00 00 
   184)       272.4  Rx     1825F401  8  00 00 00 00 00 00 00 00 
   185)       273.0  Rx     1826F401  8  00 00 00 00 00 00 00 00 
   186)       273.6  Rx     1827F401  8  00 00 00 00 00 00 00 00 
   187)       274.2  Rx     1828F401  8  00 00 00 00 00 00 00 00 
   188)       274.8  Rx     1829F401  8  00 00 00 00 00 00 00 00 
   189)       275.4  Rx     182AF401  8  00 00 00 00 00 00 00 00 
   190)       276.0  Rx     182BF401  8  00 00 00 00 00 00 00 00 
   191)       276.5  Rx     182CF401  8  00 00 00 00 00 00 00 00 
   192)       277.1  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
   193)       309.5  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
   194)       310.1  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
   195)       310.7  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
   196)       311.2  Rx     1803F401  8  0C 94 08 01 8B 08 0C 00 
   197)       311.8  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
   198)       312.3  Rx     1805F401  8  0C 93 08 0C 8D 08 01 00 
   199)       312.9  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
   200)       313.5  Rx     1807F401  8  00 01 5A A8 02 A0 7F 00 
   201)       314.1  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
   202)       314.6  Rx     1809F401  8  00 00 00 00 00 00 00 00 
   203)       315.2  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
   204)       315.8  Rx     1812F401  8  92 08 98 08 86 08 90 08 
   205)       316.3  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
   206)       316.8  Rx     1814F401  8  94 08 91 08 91 08 94 08 
   207)       317.4  Rx     1815F401  8  94 08 92 08 94 08 8F 08 
   208)       317.9  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
   209)       318.5  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
   210)       319.0  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
   211)       319.6  Rx     1819F401  8  92 08 90 08 92 08 93 08 
   212)       320.1  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
   213)       320.7  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
   214)       321.3  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
   215)       321.8  Rx     1824F401  8  00 00 00 00 00 00 00 00 
   216)       322.4  Rx     1825F401  8  00 00 00 00 00 00 00 00 
   217)       323.0  Rx     1826F401  8  00 00 00 00 00 00 00 00 
   218)       323.6  Rx     1827F401  8  00 00 00 00 00 00 00 00 
   219)       324.2  Rx     1828F401  8  00 00 00 00 00 00 00 00 
